varid,d_ads,d_abs,d_ats,d_fss,E_ads,E_abs,E_ats
0,0.02,0.06,0.14,0.58,5000,5000,5000
1,0.02,0.06,0.14,0.58,5000,5000,12500
2,0.02,0.06,0.14,0.58,5000,5000,20000
3,0.02,0.06,0.14,0.58,5000,12500,5000
4,0.02,0.06,0.14,0.58,5000,12500,12500
5,0.02,0.06,0.14,0.58,5000,12500,20000
6,0.02,0.06,0.14,0.58,5000,20000,5000
7,0.02,0.06,0.14,0.58,5000,20000,12500
8,0.02,0.06,0.14,0.58,5000,20000,20000
9,0.02,0.06,0.14,0.58,12500,5000,5000
10,0.02,0.06,0.14,0.58,12500,5000,12500
11,0.02,0.06,0.14,0.58,12500,5000,20000
12,0.02,0.06,0.14,0.58,12500,12500,5000
13,0.02,0.06,0.14,0.58,12500,12500,12500
14,0.02,0.06,0.14,0.58,12500,12500,20000
15,0.02,0.06,0.14,0.58,12500,20000,5000
16,0.02,0.06,0.14,0.58,12500,20000,12500
17,0.02,0.06,0.14,0.58,12500,20000,20000
18,0.02,0.06,0.14,0.58,20000,5000,5000
19,0.02,0.06,0.14,0.58,20000,5000,12500
20,0.02,0.06,0.14,0.58,20000,5000,20000
21,0.02,0.06,0.14,0.58,20000,12500,5000
22,0.02,0.06,0.14,0.58,20000,12500,12500
23,0.02,0.06,0.14,0.58,20000,12500,20000
24,0.02,0.06,0.14,0.58,20000,20000,5000
25,0.02,0.06,0.14,0.58,20000,20000,12500
26,0.02,0.06,0.14,0.58,20000,20000,20000
27,0.02,0.06,0.18,0.54,5000,5000,5000
28,0.02,0.06,0.18,0.54,5000,5000,12500
29,0.02,0.06,0.18,0.54,5000,5000,20000
30,0.02,0.06,0.18,0.54,5000,12500,5000
31,0.02,0.06,0.18,0.54,5000,12500,12500
32,0.02,0.06,0.18,0.54,5000,12500,20000
33,0.02,0.06,0.18,0.54,5000,20000,5000
34,0.02,0.06,0.18,0.54,5000,20000,12500
35,0.02,0.06,0.18,0.54,5000,20000,20000
36,0.02,0.06,0.18,0.54,12500,5000,5000
37,0.02,0.06,0.18,0.54,12500,5000,12500
38,0.02,0.06,0.18,0.54,12500,5000,20000
39,0.02,0.06,0.18,0.54,12500,12500,5000
40,0.02,0.06,0.18,0.54,12500,12500,12500
41,0.02,0.06,0.18,0.54,12500,12500,20000
42,0.02,0.06,0.18,0.54,12500,20000,5000
43,0.02,0.06,0.18,0.54,12500,20000,12500
44,0.02,0.06,0.18,0.54,12500,20000,20000
45,0.02,0.06,0.18,0.54,20000,5000,5000
46,0.02,0.06,0.18,0.54,20000,5000,12500
47,0.02,0.06,0.18,0.54,20000,5000,20000
48,0.02,0.06,0.18,0.54,20000,12500,5000
49,0.02,0.06,0.18,0.54,20000,12500,12500
50,0.02,0.06,0.18,0.54,20000,12500,20000
51,0.02,0.06,0.18,0.54,20000,20000,5000
52,0.02,0.06,0.18,0.54,20000,20000,12500
53,0.02,0.06,0.18,0.54,20000,20000,20000
