x,y,z,E11,E12,E13,E22,E23,E33,EmaxPrincipal,S33,SmaxPrincipal,Smises,U1,U2,U3,instance,d_ads,d_abs,d_ats,d_fss,E_ads,E_abs,E_ats
0.0025,0.0,0.0025,-9.454189239477273e-06,-3.1309493886411133e-10,1.9900261438721145e-09,-9.454190148971975e-06,1.9900265879613244e-09,5.856833467987599e-06,5.856833467987599e-06,-138814.359375,-138814.359375,226829.953125,-2.3635362111917857e-08,-2.3635362111917857e-08,2.636628232721705e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0075,-8.570998943469021e-06,1.957140283170844e-10,2.451252756330291e-09,-8.570998943469021e-06,2.451252756330291e-09,4.903779426967958e-06,4.903779426967958e-06,-138876.1875,-138876.1875,199626.359375,-2.1427405627605367e-08,-2.1427405627605367e-08,2.6393185180495493e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0125,-7.691581231483724e-06,7.00726976443633e-10,-2.580696545351202e-09,-7.691581231483724e-06,-2.580696545351202e-09,3.95666211261414e-06,3.956662567361491e-06,-138877.828125,-138877.828125,172566.59375,-1.9228878045396414e-08,-1.9228878045396414e-08,2.6415336833451875e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0175,-6.826401204307331e-06,1.1970536784033925e-09,-1.5278821763331507e-08,-6.826401204307331e-06,-1.5278821763331507e-08,3.033277835129411e-06,3.033289658560534e-06,-138609.890625,-138609.71875,146069.59375,-1.7065945101535362e-08,-1.7065945101535362e-08,2.6432810045662336e-05,AD,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0225,-6.050915544619784e-06,1.5903711680920196e-09,-9.521500743403521e-08,-6.050915544619784e-06,-9.521500743403521e-08,-1.0684612789191306e-05,-6.0491424846986774e-06,-138032.578125,-120864.171875,17167.26953125,-1.5127243457868644e-08,-1.5127241681511805e-08,2.6413681553094648e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0275,-5.3730723266198765e-06,1.8774610754945797e-09,-1.2288465711662866e-07,-5.3730723266198765e-06,-1.2288465711662866e-07,-1.1313903996779118e-05,-5.37086316398927e-06,-137224.546875,-115213.3046875,22010.123046875,-1.343264433018021e-08,-1.343264344200179e-08,2.6358688046457246e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0325,-4.733126388600795e-06,2.081435246381602e-09,-1.4047206775558152e-07,-4.733126388600795e-06,-1.4047206775558152e-07,-1.188150781672448e-05,-4.730705768452026e-06,-136248.984375,-109764.5390625,26483.150390625,-1.1832787194521188e-08,-1.1832786306342769e-08,2.6300698664272204e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0375,-4.137202722631628e-06,2.228263129566699e-09,-1.767805883901019e-07,-4.137202722631628e-06,-1.767805883901019e-07,-1.237694414157886e-05,-4.13419274991611e-06,-135074.765625,-104546.0546875,30528.09765625,-1.0342986023204048e-08,-1.0342985135025629e-08,2.624005173856858e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0425,-3.5902701256418368e-06,2.294625600640643e-09,-1.966481022463995e-07,-3.5902701256418368e-06,-1.966481022463995e-07,-1.2793426321877632e-05,-3.587022547435481e-06,-133690.328125,-99592.5234375,34097.4453125,-8.975659326893037e-09,-8.975658438714618e-09,2.6177125619142316e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0475,-3.096286945947213e-06,2.320369452135651e-09,-2.398998901753657e-07,-3.096286945947213e-06,-2.398998901753657e-07,-1.3124204087944236e-05,-3.09225833916571e-06,-132075.703125,-94920.359375,37156.36328125,-7.740704077718874e-09,-7.740704077718874e-09,2.6112333216588013e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0525,-2.658316361703328e-06,2.2743593675045304e-09,-2.579514273293171e-07,-2.658316361703328e-06,-2.579514273293171e-07,-1.3365702216106001e-05,-2.6540733415458817e-06,-130228.7421875,-90556.0390625,39674.2421875,-6.6457817027298915e-09,-6.645781258640682e-09,2.6046107450383715e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
